,Unnamed: 0,document,summary
455,455,saggy large breast i have very huge breast i am only and they cause me alot of pain on the neck chest and back what can i do,what are the treatments for large breasts 
456,456,theophyline i have been taking this drug since now my pop will not prescribe it and has sent me to a pulmonary specialist who will also not prescribe it she wants me to take more expensive drugs such as affair disks neither doctor has performed a serum theophyline level the pulmonologist performed a put and ordered a methacholine test which i cancelled i don i have asthma i have bronchitis both doctors told me that it was extremely dangerous to take this drug for this long of a period i have had no problems with it now that i have stopped taking it i don i feel as well as i i with it my questions are is it dangerous to take theophyline long term should they have stopped the drug suddenly like they i please help me thanks i am years old,are there adverse effects of long term theophylline use and how should theophylline be stopped 
457,457,does tolnaftate work to help nail fungus does tolnaftate help with toe nail fungus,is tolnaftate prescribed for toenail fungus 
458,458,question for the past years i was get infection in my testis ball right hand i e now a day my siemens come out in very low quantity and very thin in weight give me some solution or advice now i am getting married two months ago and i i worried for our future,what are the treatments for low sperm count 
459,459,clinicaltrials gov question specific study are there any studies looking at familial longitudinal fragile i or other related disorders we are generations of a family with similar traits in the males in each of those generations only male in each my dad is still healthy sharp as always but always suffered from functional disabilities and the youngest is with very significant developmental delays my son his father i was diagnosed with add and central auditory processing disorder as a child at but i am now sure he has fragile i facial features low iq math inability etc in my generation there is one male my half brother who also has add i o hyperactivity and very similar intellectual deficits i know fragile i does not pass through father to son is there any other explanation we have not had genetic testing but think there might be some clinical benefit to researching our family genes for understanding of the links between these males generations what would be the best way to proceed,where can i find information on fragile x sydrome and inheritance patterns 
460,460,what is the difference which medication is more potent for pain relief acetaminophen cod or acetaminophen cod,what is the difference between acetaminophen cod and acetaminophen cod and is one more potent than the other 
461,461,treatment without amputation my father is years old his arteries in the both limbs have block he is having pace maker doctor i suggest to go for amputation but there is high risk in it please suggest treatment without amputation he foot is turning black and blisters are forming on his limbs please advice,what alternatives to amputation are available for blocked leg arteries if the foot is turning black 
462,462,drop foot what can i do to try to get better from drop foot do to having two of my disks in my back replaced its been four months since i had surgery and it hasn i come back yet i want to do what ever i can to help it come back if it dose,what are the treatments for drop foot 
463,463,scan see through mesh from hernia repair i have mesh that repaired a hernia on my lower abdomen now i need a scan will the it scan see through the mesh,will surgical mesh show up or interfere in a ct scan 
464,464,does anybody have any information on pain relief for shiratama i disease my brother has had this disease for yrs and when the nerve endings are dying he is in excruciating pain and is giving no pain relief for this apart from morphine which does not help nerve pain i appreciate his consultant is trying her best with a disease she knows little about but can anybody please help or give advice or any information on pain relief for this disease he is already on the highest dose of pregabalin but when he is bad nothing is helping for the pain please any help or even anybody with any suggestions would be great full,where can i find information on pain relief for hirayama s disease 
465,465,fluticasone i was prescribed this med for rhinitis i used it as directed when it ran out i stopped that was only days ago now i have an awful upper respiratory infection could halting fluticasone have possibly caused this how long is person supposed to be taking fluticasone,where can i find information on fluticasone includingusage and side effects 
466,466,i have closer i'm and am testing pos for lyme need info,is there a connection between clostridium and lyme disease 
467,467,something else below hello i don i seem to know who to so giving this a go is worth a shot my son was diagnosed with wang syndrome earlier this year i know there is such limited research on this syndrome but i would really like to get as much information or find out if any other children with this case are alive i was wondering if you have i that i could eg your article on the web for up thanks for your time hope to hear back from you,where can i find information on wang syndrome including support groups 
468,468,what is the latest research on using i limonene as a treatment for cancer particulary skin cancer,what is the latest research on d limonene as a treatment for skin cancer 
469,469,i would live to know a little question please can a doctor answer my little question looking forward to your kind response i just want to know something about milking i am years old virgin and when i press my nipples some sort of white flu is coming out of my nipples i live in a remote area should i see a doctor or is it normal to milk while pressing nipples i have never taken any serious medications before so why am i milking or is it a hormonal disorder if so why really need your answer or advice on this is it a life threatening symptom i am really fearful looking forward to hearing from you thank you so much for reading my email blessings,what are the causes of nipple discharge 
470,470,duchannes muscular dystrophy my stepson had did and passed away at the of my step daughters are both carriers the oldest one had a healthy son the youngest daughter had a son with did this month at the of my question is about my other step son i daughters is it possible our grand daughters are carriers and do they need to be tested we are worried about this,what is the inheritance pattern for duchenne muscular dystropy 
471,471,is there any help available for fibromyalgia is there any treatment i available,what are the treatments for fibromyalgia 
472,472,sepsis can sepsis be prevented can someone get this from a hospital,what are the causes and prevention of sepsis 
473,473,need information about thalassemia medical center in visa hello dear sir madam my son has thalassemia and i have been looking for his treatment i need you to gu e me where i can take my son for his treatment actually i am in afghanistan and there is no hospital for his treatment so please gu e me,how can i find physician s or hospital s in asia who specialize in thalassemia 
474,474,louis bar syndrome my brother died young from louis bar syndrome of six pregnancies four children either i not survive pregnancy or died very young i would like to know is it possible that other children like me could have the syndrome symptoms to a lesser or greater degree i e is there a continuum,what are the symptoms of louis bar syndrome 
475,475,pain in front of lower stomach bac i i hip i have problem with severe pain when i try to get up or put pressure on my left leg should i see an orthopedic doctor what might cause this a pulled muscle spinal injury a dam i disc,what are the causes of leg pain when bearing weight and when to see a doctor 
476,476,a i a women who is not having hiv a i has performed sex with her husband and with her boy friend and now she has performed sex with me does it lead to hiv or a i to me please kindly reply,how is the hiv virus transmitted 
477,477,details about caustic soda poison hello i i writing from mauritian and my is a member of my family swallowed a poison which is caustic soda he is actually in the hospital suffering a lot is there any suggestion please to help him to be better or to relieve his pain,what are the treatments for caustic soda poisoning 
478,478,cabbies treatment area my husband and i had scabies i used it in my vaginal area i don i know how to treat the reaction i i having i think i have burned the delicate tissue in that area what can i do to treat the reaction please help any suggestions,how is sgenital cabies treated 
479,479,anemia in i i my daughter is years old she is suffering from microcytic anemia for last three years in she has been blood transfused but now her he count is doctors are unable to find out the cause of her anemia we are much worried about her ply if u can gu e us in regard,what are the causes of and treatments for microcytic anemia 
480,480,hot flashes for male i am a year old male taking lizard shots for prostate cancer i am having hot flashes from these shots is it possible that brisdelle would help me,will brisdelle help hot flashes caused by prostate cancer therapy 
481,481,of hi my is i have of and have the benign tumors in my back and neck i have also had problems with my health and was wondering about one specific thing i had to have a full hysterectomy done because of endometriosis and large cysts about years ago now about weeks ago i had to have emergency surgery because my bowels and colon were badly tangled and twisted due to scar tissue i also had endometriosis on them to plus more large cysts so now i was hoping you could tell me if all that could be caused from the of i thank you very much for your time,are endometriosis and cysts possible complications of nf 
482,482,hiss heart condition and wow heart condition is there any way you could send me information on both these heart conditions my son has to get tested for them eventually and i would just like information to understand the conditions of both of them more,where can i find information on idiopathic hypertrophic subaortic stenosis ihss and wolff parkinson white wpw syndrome 
483,483,gender dysphoria no health care on my son suffering from gender dysphoria what can we do to help him he worked out of high school no problems now not working and shutting himself in his room theres nothing about this condition in our area we live in no help in area what can we do he has had bad thoughts already please help us with some sort of info thank yuo,where can i find information on treatment and resources for gender dysphoria 
484,484,unknown mitochondrial mutation hi my son is now almost and was diagnosed with a mitochondrial mutation at about months we have no treatment other then some vitamins and aconitine and hes got really poor tone low energy pain and behavioral issues he also has sleep apnea and a history of tubes and now hearing impairment which we are investigating he has herd and high private levels and lactic ac levels almost every time they are drawn his mutation has never been seen before im wondering if you can help in any way my twin sister has mito she was diagnosed through a muscle biopsy but not the same mutation as i had a biopsy with a negative result as my insurance won i cover the genetic blood panel i really need so for me its inconclusive im wondering if you have ever heard of this mutation or are willing to look into it heres a little spirit of one of his diagnosis heteroplasmic mutation in the at gene i a i i herd episodes of cyanosis and an abnormal channel study suggesting apnea he has lactate and private elevations in addition to a dna mutation consistant with a mitochondrial disorder if you can help in any way we would be eternally greatful thanks so much for taking the time to read this,where can i find inforrmation on mitrochondrial mutations including diagnosis symptoms and treatments 
485,485,insomnia special case hi im years old male i was suffering from social anxiety since i was child last year i dec ed to go to a psychologist she advised me to practice meditation mindfulness and cut as well she explained to me the great positive impact of the meditation mindfulness on the brain activity neuroplasticity since then i ve been practicing these techniques the result was awesome i no longer suffer from my social anxiety and my life has completely changed to the positive i e no more worry stress anxiety etc but at the same time i started to suffer from chronic insomnia until now of course im always in touch with my psychiatrist who has prescribed me the necessary and still following me up even tough my insomnia doesn i improved unfortunately nobody can determine the real cause of my insomnia if i know the cause i all do my best to find the key to resolve this problem according to my mentioned story can you help me to find the real cause of my insomnia thank you your answer is very appreciable and important to me,what are causes of and treatment for chronic insomnia 
486,486,new drug want are i e affect and how does help you my dry have me on lisinopril mugs and metroprolol mugs and amlodipine mugs i do have high i i the highest is been regular most time why so many drugs what does each one do for me do i really needs drugs thank you,are lisinopril metoprolol and amlodipine taken together for high blood pressure and what does each one do 
487,487,esomepeazole magnesium is this generic for of medium produced gluten free i am celiac and have to check all my meds,what are the ingredients of esomepeazole magnesium and is it gluten free 
488,488,skin cancer are there any skin creams that have positive effects on skin cancer what effect do skin creams with vit i have on skin cancer what effect do skin creams with aspirin have on skin cancer,are skin creams with vitamin c or aspirin a treatment for skin cancer 
489,489,questions about products posted on the internet i suffered a massive stroke on with paralysis on my left i e of my body i i home and conduct searches on the internet to find help with recovery and always this product called neuro appears claiming to restore function to my knowledge it isn i approved by the fda but it sounds so promising do you know anything about it and there anything approved by our fda that does help,what are treatments for paralysis after stroke approved by fda 
490,490,thank you for your response to my inquiry about the mar vaccine i was born in never had the day measles but i have the day measles and i have mumps as a child a recent blood test indicated that i am not immune to rubella so my doctor recommended i get the mar vaccine in light of my etc do you agree or do you feel it is unnecessary or is there a separate vaccine for just rubella which is the measles that has started to reappear,who should get the mmr vaccine 
491,491,tongue and throat hi i i having some difficulties with tongue and throat infection i ed my doctor three times already at first he gave me doctrine to put it on my tongue and yesterday once again i visited him and i told him the medication you gave me does not work and my infection is getting worst he wrote a recipe for me to get terbinafine my tablet i i using them but then today i wake up and read some of the thrush information that you guys prov e and you say when having thrush it is not good to have any antibiotic but that is what he i giving me and he i i i run any tests on me yet please tell me what should i do next,where can i find information on throat infections including diagnosis and treatment 
492,492,bardem died syndrome does bardem died syndrome cause your teeth to decay faster than other people does bardem died cause the cartel in your body to deteriorate faster does bardem died cause you to have spinal stenosis sincerely,what are symptoms of and complications from bardet biedl syndrome 
493,493,clinicaltrials gov question general information dear sir my is yers old i approaching you with much hope after reading the news online about breakthrough in thalassemia major treatment i have one son of birth now year month as per his reports attached and analysis of my report and my wife i report hematologist my son is thalassemia intermediate whene we report at shows he only we had blood transfusion done at djibouti doctor here sa the he level cme down due to spleen enlargement which was due to some infection in body so doctor here prescribed antibiotic for days after having anti bionics the fever came down and now my son is ok even though i need a permanent solution treatment fo my son by lentil global i drug i request you to mail me possible solution permanent treatment,what are the latest treatments for thalassamic intermedia 
494,494,knee microfracture surgery hi please give me a general answer as to what can happen after microfracture surgery if no physical therapy is prescribed and i was allowed to walk with no crutches for an entire week i had the surgery one month ago and still have not started i i i was unaware of this procedure going in i thought that i was only having a meniscus tear repaired,what are rehabilitation guidelines for knee microfracture surgery 
495,495,treatment of parkinson i am having parkinson for last years so far it was only some shaking my right hand now it is on increase i am and having skin problem i am scared of increasing dos as it seems to possibly affect skin problem plus suggest any care i need to take i would be grateful for your kind advise,what are the latest treatments for parkinsons disease 
496,496,peptic ulcers tylenol i have a history of peptic ulcers so i don i take aspirin or anything that contains it however i still experience ulcerative pain when i take tylenol especially on the second day of it i administration in recommended doses why is this so,can tylenol cause ulcerative pain 
497,497,shingles i am year old female very healthy accept i had shingles in my i started on one i e later had on both i es i suffered through shingles for many years finally i can say i have recovered because i am still sensitive in my back and head i can live with that i will be going through a major teeth work implants my question is does the shingles effect your gum nerves tissue and gum bones has any research being done in this area also,can shingles affect the teeth and gums 
498,498,poland syndrome i have poland syndrome and cannot find it anywhere,where can i find information on poland syndrome 
499,499,i ney failures if u have a gor of does that mean or i know u can i give advice but could u tell me what it that might put me in,what are the stages of chronic kidney disease based on gfr results 
500,500,hi my mother is i around years she has a kilo on face she has undergone all types of treatments but all in vain cryo surgery surgery stern compression band etc it is getting bigger and bigger day by day as it is on face she finds it very difficult to face people and society so i request you to kindly suggest a remedy for the same please with regards,what are the latest treatments for facials keloids 
501,501,cure for hepatitis i i am the care taker of a family member with hep i he is end it liver failure but down i meet the gu lines for a liver transplant due to a colon cancer diagnosis in the colon cancer was successfully treated with colon resection we were told by a previous physician that there is an approved drug which cures hep i he emphasized that the new drug is a cure not a treatment i tried to find inform my own to no avail i ed nih and was told to call the fda i have had no response from the fda re i left in their website was futile can you assist us my family member is end it and if this physician was accurate this could assist us tremendously he is taking baracus and xifacxin as well as lactose his primary care physician is alarmingly knowledgable,is there a cure for hepatitis b 
502,502,gelatin hi i want to make sure what kind of gelatin is used at vitamin i is it from pork thank you for cooperation,is gelatin an inactive ingredient of vitamin d and is it pork free 
503,503,clinicaltrials gov question general information i would like to know if there is a i e affect from taking mestinone while tanning in a booth it seems if have a rash on back and burning on chest and stomach which has never happened before i started taking mention are we more sensitive to sun while on this medication,what are the side effects of mestinon and tanning 
504,504,voice hi i am wondering if anyone can help me get my voice back i have als in my throat and i don i want to go out on a disability i want to keep working thank you,what are the treatments for voice disorders caused by als 
505,505,treatment for dry mouth caused by necessary medicine my prov er can i help i asked i am intolerant of all the sugar alcohols such as maltilol sorbitol xylitol etc and need something for dry mouth caused by med which i have to take bitten products help for only about two minutes,what are treatments for dry mouth that do not contain sugar alcohols 
506,506,dear sir and madame i i looking very urgently for help and i really hope you give me an answer my is from germany years old a year ago i got sick goblin goetz syndrome an mutation of the ich gen my condition worsened and here in germany nobody can help me sry for my english its not the best ive heard from gentechnik so that defective genes can be exchanged or settled by cells or vitamins iam to young and i dont have much power my doctors here in germany partly dont know what to do and iam actually a strong person but i stay in an impasse for me its no travel too far or too long i fight for a long time but since i get every three weeks basaliomas i lose my zest for life im sure it gives an opportunity even if it is a larger intervention that i can be cured whatever how much it costs i have read that they are furthest in the research which relates to cancer i have a big heart and no way is to long for me if you help me please help me best wishes,what are the latest treatments for gorlin goltz syndrome 
507,507,clinical studies hep i dear madam sir i am looking for clinical studies on hep i and i want to know if my mother could participate in any of these studies she is years old and she suffers from hep i in it between she has liver cirrhosis and it caused variceal bleeding so she gets an endoscopic variceal ligation every months the new treatment is not available in egypt yet and we are not sure when it will be or if it will ever be it i very risky to wait in my mom i case and we can i afford the cost of the treatment abroad please let me know if she could join one of your clinical studies or if you can help us to find other studies according to her case i can send a full record of her case i i be really grateful i appreciate your concern in advance thank you best regards,what clinical trials are available for hepatitis c 
508,508,genetic condition passed from mother i am looking for the of a genetic condition passed on from the mother female children are carriers but only male children are symptomatic it is often mistaken for a milk protein allergy causes excessive spitting up and hiccups and rounded teeth often male children do not make it to their it birthday i have lost two boys and am about to have a third i desperately need to find the of this condition please help my childs life depends on it my doctors say they do not know what to test for or how to proceed without a,what genetic condition causes excessive spitting up hiccups and rounded teeth 
509,509,letrozole can u please advise me what year letrozole was first used in the market as i was not given this tablet after breast surgery in and my tumour grew again i had gone through the menopause in so was not offered toxin,when was letrozole approved for use 
510,510,other uses for phentermine hello my is i do not usually send comments or questions online i am only doing this because i am trying to find an answer to a baffling situation i am experiencing i started taking phentermine about years ago for weight loss i lost weight successfully but also found that the phentermine substantially relieved my arthritis pain now my doctor has taken me off of the phentermine he will not prescribe it for pain relief as he does not believe there is any correlation between the phentermine and relief of my arthritis pain i have taken many pain relief medications over the years as my arthritis is acute the phentermine works the best is there any correlation between phentermine and pain relief sincerely,can phentermine be used for pain relief 
511,511,customer service request i am looking for recent information and treatment for lederhosen disease also know as plantar fibromotisis i would be interested in doctors specializing in this disease,where can i find information on ledderohose disease including the latest treatments and how can i find physician s who specialize in it 
512,512,help to locate drug received instructions from the fda in using this site to find an anti depressant that does not contain soy in any ingredient no product found please help me,what anti depressant fdrugs do not contain soy as an inactive ingredient 
513,513,insomnia what can i give my father to help him sleep he sa he will take whatever he is not on any medication not allergic to anything fully ambulatory,what are treatments for insomnia 
514,514,sensorineural hearing loss she hi my father has lost his hearing in one ear and ever since he has been suffering with constant buzzing in his ear is there treatments that can be recommended to solve this kind regards,what are treatments for ringing in the ears 
515,515,my sister was told she has breast cancer hello my is my sister has been told that she has breast cancer and i want to no if she could use salinomycin to kill the breast cancer,is salinomycin a treatment for breast cancer 
516,516,hiatal hernia exercise i lost labs do you have an exercise i can do to correct me hernia,what exercises will help hiatal hernia 
517,517,i want to ask a question about botox i want to know if botox is useful in treating someone who had a stroke and their left arm is crippled up the man had a cerebral hemmorh i want to know if this helps or not,can botox help arm paralysis 
518,518,canal a of the esophagus i cannot locate any information on this condition causes symptoms treatment etc i have had it in the past and suspect that i have it again i would like to research this condition but internet search only comes up with cancer i realize that my case is not addressed in your reply i am simply seeking general information,where can i find information on candida of the esophagus including causes symptoms and treatment 
519,519,what is the latest news on tennis or ringing in the ear i am years old and have had ringing in the ear since my i os thank you,what is the latest research on tinnitis 
520,520,aortic valve replacement surgery is minimally invasive surgery minor not tar any less effective or riskier than the conventional method where the breast bone is split can the surgeon do as good a job if the minor procedure is used,how does miavr compare to tavr in effectiveness and risk 
521,521,new treatment for diploma of forearm i have had two surgeries on my right forearm the last was years ago the diploma has returned are there any new treatments or experimental procedures that might help me,what are the latest treatments for recurrent lipoma of the arm 
522,522,thalamic lacunar strokes i am interested in anything you have on this condition i have this stroke and am aiming for knowledge if at all possible my thalamic lacunar stroke is yours to study,where can i find information on thalamic lacunar strokes 
523,523,trisomy i had a trisomy mosaic infant and now my sister in law has just been diagnosed with a trisomy pregnancy is it possible both brothers may carry a trans,is trisomy inherited and what is the pattern 
524,524,prestigious place in usa for treatment to common peroneal nerve dysfunction hello i have foot drop for dam to the common peroneal nerve caused by surgery on knee in november please which is the most prestigious institution or place in usa for treatment or surgery of this type of injury thanks a lot,how can i find physician s who specialize in common peroneal nerve dysfunction 
525,525,alt in blood my alt is ast is what is best way or test to know the reason for these increased values in blood and any treatment possible without knowing the reason i am a having retired life i feel i most of the time it keg no alcohol no smoking etc,what are the causes of and treatments for eleveted alt and ast 
526,526,leg pain i am diabetic since last years and present it is and morning it varies from to and afternoon and from to i regularly take medicine swimming exercise yoga for hours in the morning hours in the evening but recently the pain has started in the legs and do has suggested still i also take kerala juice methi seeds it is water in the morning is this due to diabetes or any excess exercise,what are the causes of leg pain 
527,527,loss of ear pressure is it possible to lose ear pressure more in one ear than another and can it repair itself,what are the causes of loss of ear pressure and can it heal itself 
528,528,thrush article maybe i over read the article but i saw nothing about thrush being transferred from one person to another weather it can happen or can i it should be told somewhere in the article,how is thrush transmitted 
529,529,athletics my right shoulder is getting pain and my right hand is not moving up and back freely doctor explained me that it is pediathratic problem i have done some pschyotharapi treatment my doctor advised me that there in no medicine and regular exercise required what is the next it i want to do please explain,what are the treatments for shoulder pain and loss of hand movements 
530,530,my husband has blood pressure of in one arm and in the other arm what does that mean,what are the causes of different blood pressure readings in each arm 
531,531,nocturnal i had my prostate removed by surgery because of cancer several years ago i have discussed this with my doctor and he cannot give me anything that will stop my having to get up times during the night to urinate i have no pain with it and the stream is normal your suggestions welcomed thank you,what are the treatments for nocturia 
532,532,stroke mobility equipment husband has had strokes since he refuses to take anymore maintenance therapy it is becoming more challenging to help him be mobile there does not seem to be any source to assist me in learning what equipment etc i could or should get to help him and to help me in my role as caregiver any help you can give would be much appreciated,where can i find information on stroke resources including mobility equipment and caregiver support groups 
533,533,severe full body weakness could you please tell me why the body would be severely weak and after viral infection body does not return normal still is severely weak,what are the causes of severe body weakness 
534,534,grievance counseling my father passed away hospice helped our family with his passing and offered us counseling which at that time our family i i i use my brother is now interested in counseling services and i i wondering if i can get some information on this thank you,where can i get information on grief counseling and support groups 
535,535,does high thro level interfere with recovery i just had double knee replacement on i take levothyroxin my daily for my thro condition i take no other meds on a regular basis except for the normal pain meds prescribed during my recovery during my recovery i never felt comfortable and free of pain i finally asked for a blood test and discovered my ash level at my question is will a high ash level interfere with healing and recovery of muscle tissue and bones i am now taking a higher dose of levthyroxin can i expect a longer than normal recovery period due to a high ash level thank you,can high tsh levels or levothyroxine impact muscle tissue recovery 
536,536,central venous catheters ports hello i was wondering about the central venous catheters ports and how they work my grandma takes dialysis treatments and hers blew a couple days ago both of her arms swelled immediately they were asked to do another one but sa it was ok after another treatment today both arms turned purple i want to know if you can tell me how dangerous is it if they are using the port and it is blown can she bleed out or throw blood clots,what are the complication of central venous catheters 
537,537,family line with three types of genetic disorder in our family line there are three children with different genetic disorders i want to know if this is a congenital condition that could affect future offspring in this line one has downs syndrome one had wolf herschhorn and one has xy oxy and sexy together referred to as mosaic they are all third cousins there are many other children who will one day possibly have offspring is there a danger should each have genetic testing,what are the inheritnce patterns of downs syndrome wolf hirschhorn syndrome and xy xxy xxxy mosaicism 
538,538,clinicaltrials gov question general information for the last years i have suffered with scalp psoriasis have tried every known shampoo for this problem and no i am trying vitamins also i cannot afford the doctors treatment unless medicare would pay for it please can u give me some advice i take blood pressure meds after a triple bypass would that be working against me i a licensed cosmetologist and even embarrassed to have a co worker cut my hair,what are the treatments for scalp psoriasis 
539,539,gluten free can you tell me if this drug is gluten free pas hydrochlorothiaz e thank you,what are the ingredients of pms hydrochlorothiazide and it is gluten free 
540,540,broken veins in legs is vein surgery for mostly cosmetic reasons recommended any dangers serious i e effects,what are the complications of varicose vein surgery 
541,541,plaquenil i was recently diagnosed with lupus a few months prior i had a terrible reaction to levofloxacin my doctor wants to give me plaquenil i am concerned as this is in the quinolone family should i be concerned is this a quinolone drug,what are the contraindications for plaquenil 
542,542,garcia cambodia in the usa and elsewhere plenty of adds promoting the extract of this plant garcia cambodia to fight obesity any reliable information on this claim will be appreciated,does garcinia cambogia help weight loss 
543,543,my aunt is on the following meds and is having pain not relieved by tylenol could she take morin along with these meds aggregor amlodipine my simvastatin levothyroxine mug oxybutynin carb cometo sertraline,what drugs can interact with motrin 
544,544,uncontrollable jerking movements when i am exercising hard the left i e of my body will start to do strange things when lifting weights overhead my left upper lift will jerk up into sort of a sneer when doing core work my left arm will start jerking so hard that it i impossible to hold onto anything the jerking stops after the exercise ends but my left arm feels worn out no pain a few months ago my left leg completely lost any strength for weeks it first appeared when i was just trying to do a squat with a plastic pipe in my hand eventually was able to work strength back again no pain should i be alarmed,what causes jerking movements during exercise 
545,545,find a doctor a specialist on this problem who is a certified opt in or near the nashville to area who does surgery for strabismus please help me find a trusted doctor who performs this kind of surgery,how can i find physician s who specialize in strabismus surgery near nashville tn 
546,546,medical i have rash on the skin of the scrotum what would cause it and how do i treat it,what are the causes of and treatment for scrotal rash 
547,547,fomepizole mixing hi can you tell me if there are any special mixing precautions associated with fomepizole i am wondering specifically about any precautions or if any protective gear needs to be worn when mixing thank you,are there any precautions for mixing or administering fomepizole 
548,548,tests for haemophilia hi i was wondering if blood clotting assays are always positive if one has mild moderate hemophilia and what the is of the genetic tests for hemophilia i have a history of internal spontaneous bleeding into the joints or with eating garlic or onions in large amounts i also hemmorh after injuries arm injury head injury hemmorh and pregnancy birth hemmorh both times i ve had to have blood transfusions and shots to control the bleeding but it i usually possible to control it i believe i may have passed this on to my son as he was determined by a doctor to be a heavy bleeder at circumcision while on the i i was asked by a if anyone had done a work up on me for hemophilia or any clotting disorder and i sa not to my knowledge i asked if they were going to do it and she sa to follow up with a primary doctor for it she also sa it could be expensive this is why i i asking if i go to a medical appointment as a private pay patient and want to have testing done which tests would you recommend,how is hemophilia diagnosed and are there genetic tests for it 
549,549,i have a fungal infection on my two legs which i have treated several month with vagisil o o cream dexamethasone i cream and sulphur skin ointmentcream and the drugs terbanfine fuschia amicus betcha vitamin i etc but with all of these the fungal still remain the same plus which strong antifungal drug or injection would you people recomend for me or what advice would you give yours faithfully,what are the treatments for severe skin fungal infections resistant to over the counter medications 
550,550,tri gem neuralgia i had an episode with the tri gem days after i was rear ended it was incredible pain that lasted days in the months following i had decompression surgeries the it one i it work was pain free for about days the second surgery months later left me with a numb face but no tri gem pain could the tri gem have been brought on from the trauma to the head from the car acc ent i had been diagnosed prior to the acc ent but was not experiencing any symptoms for a long time then the acc ent and days later im in a full blown episode please let me know what your thoughts are,can symptoms of trigeminal neuralgia be exacerbated by head trauma 
551,551,can u give me more information about physiotherapy for patient with acute stroke treated wiht trombolysis,where can i find information on physical therapy after acute stroke 
552,552,pseudomonas aeruginosa diabetes hello my is i have a daughter of years with type diabetes and i have a query the bacteria pseudomonas aeruginosa has been detected in the water tank of my building i found that i have to take extra care with diabetics could advise me about that thank you,are there special precautions for diabetes and pseudomonas aeruginosa 
553,553,referral vacationing in and near puerto rico how to i find a dentist for toothache,how can i find dentist s to treat toothaches in puerto rico 
554,554,clinicaltrials gov question general information my months baby has ocular albinos can you please help me or suggest any medicine to cure him,what are the treatments for ocular albinism 
555,555,clinicaltrials gov error found in a study dear all i am from malaysia my mother has suffered from ma and it is be discovered on year i have a question from this it showed that this disease is not to be hereditary i got a real life example is that my grandpa was suffered with this disease and he had passed away follow by my uncle that had inherited this disease my mother also got the same disease with her father and this disease is discovered and proven by is that really not hereditary if my mother suffered from this disease what is my probability to i will get this disease i now feel worry about my future i scared i will got the disease from mother could you please reply my looking forward for your precious answer thank you yours sincerely,is msa disease hereditary 
556,556,positive mesa by per what does a positive mesa by per mean can i still have my surgery am i contagious,what does a positive mrsa by pcr mean am i contagious and can i have surgery 
557,557,clinicaltrials gov question general information i i a mother of a year old girl that has been diagnosed with endometriosis i know its not spelled right the doctor stated it was severe and uncommon for children her she was when diagnosed is there anything going on for her she has not had any treatments and hurts constantly,what are the treatments for severe endometriosis in adolescents 
558,558,i am interested in learning about treatments for intradural papillary mutinous neoplasm imn i i particularly interested in new treatments perhaps less invasive surgery or alternative treatments it would be good to know who is conducting the research in this area and where it is being conducted thank you,what is the latest research on and treatments for intraductal papillary mucinous neoplasm ipmn 
559,559,dopa responsive dystonia dot and retinitis pigments hi im not sure if you can help but my wife has dopa responsive dystonia dot and retinitis pigments i was hoping to find out some information if possible or to see if you could put me in touch with someone that mey be better suited to this we are wanting to start a family and want to know how dopa responsive dystonia dot and retinitis pigments may effect the child or my wife during the process she is currently taking levodopa daily and would like to know if this in itself could have an effect on an unborn child not sure if ive come through to the right place or not but just looking for some information or an indication of whom i may speak to i really look forward to hearing back from you regards,what are the effects of dopa responsive dystonia retinitis pigmentosa and levodopa on pregnancy 
560,560,letrozole since taking letrozole the last months i now have a am cyst in front of my right ovary that must be removed why am i prescribed a drug that is also prescribed for young women trying to conceive i am post menopausal and had early it breast cancer in now that i am ending my year run with this drug i have adverse affects with a cysts is a cysts an egg that was not fertilized from the fallopian tubes i cannot understand this logic of giving me this drug,what are the uses and side effects of letrozole in postmenopausal women 
561,561,shortness of breath thank you for your tip on being short of breath upon doing simple chores around the house i have done what you told me breath through nose then let it out through pursed lips works for me but i i constantly out of breath my doctor checked my heart and lungs with his stethoscope and says all is fine however i do suffer from hypertension and high blood pressure and take medication for it i i years old and would like to know if losing a bit of weight and walking would help me further i need to toughen up my muscles because i tire kind of too easily makes me feel like i i lazy which i am not used to i need to be doing things all the time i i a kitty cat caregiver and take in strays and look after them so you can imagine the work required litter boxes to lift bowls of water food bags vet care and just a lot of running around doing this and that for the kitties any suggestion from you would be appreciated,can weight loss and exercise help alleviate shortness of breath 
562,562,vaginal rashes after periods that leads to vaginal itching period rashes proceed to vaginal itching then it develop fungal infection with thick white discharge i then take fluconazole antifungal which cure it but i worried of taking allopatic medicines plus tell me what primitive or traditional methods do i use to avo it i also have a sensitive skin,how can i prevent vaginal skin rashes and fungal infection 
563,563,false positive ua results i tested positive for amphetamine but do not use drugs i do have bad allergies and heard several over the counter medications can cause false positives is this true and is there a list thanks to respond,what can cause a false positive on an amphetamine drug test 
564,564,small intestine died my father in law died recently after his small intestine died he was apparently in good health and ate dinner on saturday and had to be rushed to the hospital on sunday early on tuesday they operated on him after his blood pressure dropped they removed of his small intestine and part of his large intestine dead is this reasonable that they would find this of his intestine dead again he appeared to be ok the day before,what causes the small intestine to die and what are the symptoms 
